#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation
92,5,18,48,5,49,0.8351044480991336,32,2.1102034285685964,14.52618443524396,0.09876543212942626
93,2,27,22,14,70,0.015572695853753316,32,0.00390473523688556,0.31045714594086504,0.8888888888888888
94,4,27,13,32,91,0.048826586344460014,4,0.24175940791691308,2.4603010656411755,0.11522633750988132
95,3,47,4,30,43,0.5195086955162364,64,1.5459277364194786,14.52618443524396,0.09876543212942626
96,2,25,30,25,70,0.096674928526153,4,0.006335804992658254,0.44237936867607963,0.8559670781893004
97,4,45,20,17,6,0.2772407599751966,4,0.0038157646612712484,0.326074657248862,0.8641975325812038
98,4,24,48,37,69,0.4816434925002406,8,0.03447764054734464,0.9062888747380103,0.6172839528248634
99,3,23,27,12,95,0.16817868575432948,16,0.006634708121092351,0.38685566015204287,0.8641975325812038
100,3,17,2,28,29,0.5263925313622482,8,0.01101645949633657,0.6231131121945479,0.740740742457747
101,3,45,14,49,59,0.08098141971643635,16,2.1102034285685964,15.454799228244358,0.0411522633744856
102,5,16,43,37,9,0.4862416444867162,4,1.9023011886689458,8.832819298952204,0.12757201658354866
103,3,48,12,34,71,0.8566108650796587,64,0.00024569164629827903,2.5526530222637662,0.09876543212942626
104,5,32,6,4,62,0.3707804603907709,64,0.25906778586880086,1.8317839829519453,0.341563785027084
105,3,5,33,31,84,0.2493346944608224,16,0.0065586856595714355,0.4732960520825759,0.8189300428692696
106,4,16,40,25,66,0.44844660936205366,32,0.9637934799615786,14.526184588302801,0.09876543283462524
107,1,3,5,35,78,0.13115771232033416,32,0.01101645949633657,0.8250812355873516,0.6543209869184612
108,2,5,17,10,29,0.24614171210550448,4,5.305480525369574,14.0618772742189,0.12757201658354866
109,3,27,19,6,93,0.06129429031085163,8,0.0010740661533334334,0.2719916426902445,0.8847736642684465
110,4,11,39,3,80,0.6944411233426486,64,0.697981390783066,14.260866286823289,0.11522633750988132
111,2,20,32,31,7,0.03344158774713442,64,3.503842245290676,14.526184588302801,0.09876543283462524
112,3,37,50,31,8,0.6860240187152836,64,0.000312964801067075,1.1577030003316118,0.57201646016949
